module,sub_module,difficulty,question,option_A,option_B,option_C,option_D,answer,analysis
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 44 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 45 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 46 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 47 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 48 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 49 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 50 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 51 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 52 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 53 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 54 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 55 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 56 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 57 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 58 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 59 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 60 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 61 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 62 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 63 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 64 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 65 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 66 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 67 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 68 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 69 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 70 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 71 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 72 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 73 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 74 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 75 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 76 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 77 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 78 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 79 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 80 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 81 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 82 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 83 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 84 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 85 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 86 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 87 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 88 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 89 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 90 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 91 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 92 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 93 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 94 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 95 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 96 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 97 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 98 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 99 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 100 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 101 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 102 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 103 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 104 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 105 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 106 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 107 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 108 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 109 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 110 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 111 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 112 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 113 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 114 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 115 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 116 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 117 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 118 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 119 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 120 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 121 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 122 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 123 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 124 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 125 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 126 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 127 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 128 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 129 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 130 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
